City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
606,Coihaique,BR,77.63,few clouds,-24.79,-50.01,CHACARA BAILLY
607,Kupang,ID,79.36,overcast clouds,-6.88,112.21,bador sepret
608,Namie,JP,80.6,broken clouds,34.0,131.87,Hotel AZ Yamaguchi Kudamatsu
610,Taguatinga,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
611,Labrea,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
616,Peniche,PT,78.8,few clouds,38.52,-28.7,Quinta da Meia Eira
618,Catuday,PH,81.39,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
619,Camacha,PT,78.8,few clouds,38.52,-28.7,Quinta da Meia Eira
620,Naco,MX,79.0,clear sky,30.37,-107.95,PUEBLO DEL SOuL
623,San Jeronimo,MX,79.0,clear sky,30.37,-107.95,PUEBLO DEL SOuL
625,Boquira,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
627,Miram Shah,PK,78.8,clear sky,35.92,74.31,Tourist Hamlet Gilgit
628,Zinapecuaro,MX,79.0,clear sky,30.37,-107.95,PUEBLO DEL SOuL
634,Kavaratti,IN,86.41,broken clouds,26.92,71.92,Motel Pokaran - RTDC
635,Acapulco,MX,79.0,clear sky,30.37,-107.95,PUEBLO DEL SOuL
638,Goderich,CA,78.01,broken clouds,43.75,-81.72,Harmony Inn
639,Zaraza,VE,76.6,overcast clouds,9.06,-62.05,Hotel Tucupita Su​ite C.A.
641,Portobelo,PA,88.0,clear sky,9.55,-79.65,Scuba Portobelo
647,Petrolandia,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
648,Corn Island,NI,82.04,broken clouds,12.17,-83.04,Big Fish Guest House
649,Waingapu,ID,79.36,overcast clouds,-6.88,112.21,bador sepret
650,Muroto,JP,80.6,broken clouds,34.0,131.87,Hotel AZ Yamaguchi Kudamatsu
653,Ocos,GT,80.6,broken clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
654,Alcantara,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
655,Iracoubo,GF,89.6,broken clouds,4.93,-52.33,Hôtel Le Dronmi
656,Katobu,ID,79.36,overcast clouds,-6.88,112.21,bador sepret
660,Cozumel,MX,79.0,clear sky,30.37,-107.95,PUEBLO DEL SOuL
662,Tunduru,TZ,77.38,clear sky,-7.91,39.67,Bustani B&B
664,Dakar,SN,84.2,broken clouds,14.69,-17.44,Novotel Dakar
666,Cervo,ES,86.0,clear sky,42.14,-0.41,Hotel Sancho Abarca SPA Huesca
667,La Orilla,MX,79.0,clear sky,30.37,-107.95,PUEBLO DEL SOuL
676,Mulege,MX,79.0,clear sky,30.37,-107.95,PUEBLO DEL SOuL
680,Paradwip,IN,86.41,broken clouds,26.92,71.92,Motel Pokaran - RTDC
681,Shimoda,JP,80.6,broken clouds,34.0,131.87,Hotel AZ Yamaguchi Kudamatsu
685,Cehegin,ES,86.0,clear sky,42.14,-0.41,Hotel Sancho Abarca SPA Huesca
687,Phan Thiet,VN,81.41,broken clouds,21.7,104.87,AK MOTEL
689,Chiuiesti,RO,79.56,overcast clouds,44.13,25.05,Pensiunea Family Zone
694,Tarakan,ID,79.36,overcast clouds,-6.88,112.21,bador sepret
